date,diff
2021-06-30,1
2021-07-01,1
2021-07-02,1
2021-07-06,1
2021-07-07,1
2021-07-08,0
2021-07-09,1
2021-07-12,0
2021-07-13,1
2021-07-14,1
2021-07-15,1
2021-07-16,0
2021-07-19,1
2021-07-20,0
2021-07-21,0
2021-07-22,1
2021-07-23,0
2021-07-26,0
2021-07-27,1
2021-07-28,1
2021-07-29,1
2021-07-30,0
2021-08-02,0
2021-08-03,0
2021-08-04,1
2021-08-05,0
2021-08-06,0
2021-08-09,0
2021-08-10,0
2021-08-11,1
2021-08-12,1
2021-08-13,1
2021-08-16,1
2021-08-17,0
2021-08-18,1
2021-08-19,0
2021-08-20,1
2021-08-23,1
2021-08-24,0
2021-08-25,0
2021-08-26,1
2021-08-27,1
2021-08-30,0
2021-08-31,1
2021-09-01,0
2021-09-02,0
2021-09-03,1
2021-09-07,0
2021-09-08,0
2021-09-09,1
2021-09-10,0
2021-09-13,1
2021-09-14,1
2021-09-15,0
2021-09-16,0
2021-09-17,0
2021-09-20,1
2021-09-21,1
2021-09-22,0
2021-09-23,0
2021-09-24,0
2021-09-27,1
2021-09-28,0
2021-09-29,0
2021-09-30,1
2021-10-01,1
2021-10-04,1
2021-10-05,0
2021-10-06,1
2021-10-07,0
2021-10-08,1
2021-10-11,0
2021-10-12,1
2021-10-13,1
2021-10-14,1
2021-10-15,0
2021-10-18,0
2021-10-19,1
2021-10-20,1
2021-10-21,0
2021-10-22,1
2021-10-25,1
2021-10-26,0
2021-10-27,1
2021-10-28,1
2021-10-29,0
2021-11-01,1
2021-11-02,0
2021-11-03,0
2021-11-04,1
2021-11-05,1
2021-11-08,1
2021-11-09,1
2021-11-10,1
2021-11-11,1
2021-11-12,1
2021-11-15,0
2021-11-16,0
2021-11-17,1
2021-11-18,0
2021-11-19,0
2021-11-22,0
2021-11-23,0
2021-11-24,0
